Company Name,Symbol,Date,Open Price,Close Price,High Price,Low Price,Volume
Adobe Inc,ADBE,31/08/2015,162,283,253,373,5309091
Salesforce Inc,CRM,02/09/2015,419,305,377,478,6420616
Oracle Corp,ORCL,07/09/2015,300,136,477,150,5042387
Adobe Inc,ADBE,10/09/2015,328,95,229,71,1804625
Broadcom Inc,AVGO,12/09/2015,189,186,254,360,2942768
International Business Machines Corp,IBM,15/09/2015,118,193,271,497,9587804
Adobe Inc,ADBE,17/09/2015,438,405,186,95,8466782
Salesforce Inc,CRM,20/09/2015,369,171,363,405,7825498
Oracle Corp,ORCL,22/09/2015,326,256,214,51,3170668
Broadcom Inc,AVGO,23/09/2015,58,350,76,443,8302516
Salesforce Inc,CRM,25/09/2015,462,64,380,190,6899781
Broadcom Inc,AVGO,26/09/2015,471,69,358,206,9483967
NVIDIA Corp,NVDA,02/10/2015,164,237,62,192,1374753
NVIDIA Corp,NVDA,03/10/2015,186,453,457,148,5859911
Adobe Inc,ADBE,04/10/2015,303,154,346,378,2780413
Microsoft Corporation,MSFT,05/10/2015,267,484,340,394,979470
Broadcom Inc,AVGO,05/10/2015,233,265,421,243,5337473
Alphabet Inc,GOOG,05/10/2015,122,281,95,245,1216716
Alphabet Inc,GOOG,05/10/2015,319,56,393,387,810124
Broadcom Inc,AVGO,09/10/2015,437,444,152,322,6204477
Salesforce Inc,CRM,10/10/2015,63,179,133,470,3095695
Salesforce Inc,CRM,15/10/2015,292,467,230,144,4206787
Broadcom Inc,AVGO,18/10/2015,348,278,169,474,2640506
Meta Platforms Inc,META,19/10/2015,186,97,289,140,2442801
Salesforce Inc,CRM,21/10/2015,194,449,454,354,1139858
International Business Machines Corp,IBM,22/10/2015,183,499,370,205,4671163
Salesforce Inc,CRM,25/10/2015,191,440,317,245,9891944
NVIDIA Corp,NVDA,28/10/2015,398,51,158,184,9367961
NVIDIA Corp,NVDA,01/11/2015,72,132,166,80,1242812
Salesforce Inc,CRM,04/11/2015,479,466,277,268,1822926
International Business Machines Corp,IBM,11/11/2015,270,470,286,337,4963338
NVIDIA Corp,NVDA,13/11/2015,231,246,268,263,7109987
NVIDIA Corp,NVDA,21/11/2015,411,206,478,230,4185643
Alphabet Inc,GOOG,28/11/2015,74,287,176,349,7903428
Salesforce Inc,CRM,30/11/2015,66,108,146,161,804472
Alphabet Inc,GOOG,03/12/2015,170,213,154,201,6924476
Meta Platforms Inc,META,04/12/2015,109,221,286,170,3937922
NVIDIA Corp,NVDA,09/12/2015,329,487,282,405,8587656
Microsoft Corporation,MSFT,09/12/2015,473,290,188,233,6886068
Oracle Corp,ORCL,12/12/2015,474,280,323,297,7207523
Meta Platforms Inc,META,19/12/2015,173,410,149,103,6308649
International Business Machines Corp,IBM,21/12/2015,399,210,104,380,8248095
Salesforce Inc,CRM,22/12/2015,470,168,421,283,6523051
Adobe Inc,ADBE,26/12/2015,138,291,266,74,8107288
Meta Platforms Inc,META,30/12/2015,189,273,482,419,4454289
Microsoft Corporation,MSFT,06/01/2016,137,271,495,232,7385711
International Business Machines Corp,IBM,06/01/2016,126,134,72,253,5114064
Alphabet Inc,GOOG,07/01/2016,296,417,192,234,5440592
Microsoft Corporation,MSFT,07/01/2016,59,394,133,452,6130819
Alphabet Inc,GOOG,08/01/2016,152,439,358,275,7749267
Broadcom Inc,AVGO,09/01/2016,127,272,490,310,4910684
Adobe Inc,ADBE,11/01/2016,84,118,166,53,8983483
Alphabet Inc,GOOG,14/01/2016,325,193,290,403,2717772
Alphabet Inc,GOOG,16/01/2016,477,414,87,425,5374033
Oracle Corp,ORCL,20/01/2016,195,216,482,108,5711679
Adobe Inc,ADBE,21/01/2016,101,393,230,459,1624938
International Business Machines Corp,IBM,25/01/2016,460,387,382,433,6520572
Alphabet Inc,GOOG,29/01/2016,114,188,353,80,8910974
Oracle Corp,ORCL,31/01/2016,249,259,460,431,7666606
Adobe Inc,ADBE,12/02/2016,212,198,74,290,4085471
Apple,AAPL,19/02/2016,133,288,311,498,4391570
Alphabet Inc,GOOG,22/02/2016,226,57,299,463,5877211
Apple,AAPL,24/02/2016,99,245,317,361,9262642
NVIDIA Corp,NVDA,24/02/2016,90,481,287,363,3494568
Apple,AAPL,26/02/2016,213,225,356,77,5458357
Microsoft Corporation,MSFT,28/02/2016,457,118,92,166,1443429
Alphabet Inc,GOOG,03/03/2016,282,398,403,175,8879303
Adobe Inc,ADBE,11/03/2016,136,272,184,217,5652391
Alphabet Inc,GOOG,17/03/2016,205,177,85,191,6785359
Adobe Inc,ADBE,19/03/2016,415,214,67,327,6751811
Meta Platforms Inc,META,21/03/2016,275,339,489,191,8621957
Salesforce Inc,CRM,24/03/2016,322,340,382,269,6505818
Microsoft Corporation,MSFT,02/04/2016,456,483,485,439,2800010
Broadcom Inc,AVGO,04/04/2016,382,421,182,382,1690072
Oracle Corp,ORCL,04/04/2016,458,190,114,129,9877082
Adobe Inc,ADBE,11/04/2016,366,335,374,321,4276215
Meta Platforms Inc,META,13/04/2016,321,244,101,121,6137033
Apple,AAPL,20/04/2016,470,175,437,107,4860815
Adobe Inc,ADBE,22/04/2016,478,344,177,170,1828690
Salesforce Inc,CRM,23/04/2016,320,340,78,443,8732229
Apple,AAPL,24/04/2016,159,115,265,334,1020812
Broadcom Inc,AVGO,26/04/2016,358,300,123,367,3505943
Apple,AAPL,27/04/2016,490,488,132,187,915689
Oracle Corp,ORCL,28/04/2016,393,154,396,404,4853272
Adobe Inc,ADBE,29/04/2016,498,380,490,72,6608539
Salesforce Inc,CRM,30/04/2016,188,489,318,344,2840498
Adobe Inc,ADBE,02/05/2016,115,64,89,361,6815378
Meta Platforms Inc,META,02/05/2016,325,436,75,328,1494474
International Business Machines Corp,IBM,03/05/2016,61,146,146,205,3066399
Broadcom Inc,AVGO,11/05/2016,323,238,63,342,7326162
Oracle Corp,ORCL,13/05/2016,413,340,241,123,1085820
International Business Machines Corp,IBM,17/05/2016,484,154,376,71,5896300
International Business Machines Corp,IBM,21/05/2016,365,219,230,339,537460
Apple,AAPL,25/05/2016,376,476,100,409,3930514
NVIDIA Corp,NVDA,27/05/2016,342,274,107,438,2364322
Meta Platforms Inc,META,02/06/2016,473,88,222,477,655918
Meta Platforms Inc,META,03/06/2016,57,475,164,297,8307938
Oracle Corp,ORCL,04/06/2016,116,267,278,203,3363274
Meta Platforms Inc,META,05/06/2016,433,367,234,180,6354036
Oracle Corp,ORCL,10/06/2016,239,410,146,403,5312012
Microsoft Corporation,MSFT,12/06/2016,380,230,500,142,9051660
Alphabet Inc,GOOG,14/06/2016,115,372,103,210,3668690
Salesforce Inc,CRM,16/06/2016,273,288,351,449,579812
Apple,AAPL,19/06/2016,226,115,297,155,9200929
Microsoft Corporation,MSFT,20/06/2016,319,487,444,71,5524443
Oracle Corp,ORCL,21/06/2016,249,233,256,346,5813586
Broadcom Inc,AVGO,29/06/2016,252,413,106,244,2830414
Meta Platforms Inc,META,30/06/2016,347,143,59,76,6163297
Apple,AAPL,07/07/2016,291,95,386,110,2456333
Meta Platforms Inc,META,15/07/2016,276,383,303,153,1336100
Oracle Corp,ORCL,15/07/2016,287,280,147,348,6751515
International Business Machines Corp,IBM,16/07/2016,496,214,76,154,4499280
Microsoft Corporation,MSFT,08/08/2016,219,474,61,129,4134089
NVIDIA Corp,NVDA,09/08/2016,277,460,270,366,3222525
Apple,AAPL,10/08/2016,453,164,139,55,3013427
Microsoft Corporation,MSFT,11/08/2016,392,398,327,176,7266871
Microsoft Corporation,MSFT,11/08/2016,262,249,233,238,607112
Apple,AAPL,12/08/2016,305,332,295,252,7392896
International Business Machines Corp,IBM,13/08/2016,486,329,120,195,3743307
Oracle Corp,ORCL,13/08/2016,157,365,440,451,3075666
Apple,AAPL,23/08/2016,463,103,228,480,2653949
Alphabet Inc,GOOG,23/08/2016,118,165,138,87,6147619
Oracle Corp,ORCL,28/08/2016,208,122,110,468,556290
Alphabet Inc,GOOG,31/08/2016,433,179,311,119,5182232
Apple,AAPL,02/09/2016,190,227,93,422,3073619
Meta Platforms Inc,META,11/09/2016,440,194,326,344,2705110
Adobe Inc,ADBE,13/09/2016,308,476,466,454,1041973
Broadcom Inc,AVGO,14/09/2016,347,282,363,404,1001800
Broadcom Inc,AVGO,16/09/2016,230,487,331,61,3178131
NVIDIA Corp,NVDA,16/09/2016,366,303,135,374,3031904
Apple,AAPL,17/09/2016,82,111,313,377,5598599
International Business Machines Corp,IBM,19/09/2016,107,442,416,287,3942288
Salesforce Inc,CRM,21/09/2016,246,129,446,143,3540896
Salesforce Inc,CRM,26/09/2016,347,60,242,405,6487051
Salesforce Inc,CRM,28/09/2016,86,157,376,300,9555769
Adobe Inc,ADBE,06/10/2016,149,81,196,70,5624573
Microsoft Corporation,MSFT,08/10/2016,58,81,104,454,5302835
NVIDIA Corp,NVDA,23/10/2016,327,121,323,343,8523589
Apple,AAPL,26/10/2016,386,234,88,312,9247606
Oracle Corp,ORCL,06/11/2016,248,198,325,295,8090062
Broadcom Inc,AVGO,07/11/2016,133,414,150,123,7243711
Alphabet Inc,GOOG,14/11/2016,429,349,146,117,8361348
Alphabet Inc,GOOG,16/11/2016,355,247,146,319,6565709
Salesforce Inc,CRM,18/11/2016,403,285,302,253,1707643
International Business Machines Corp,IBM,24/11/2016,286,115,160,82,5622660
Broadcom Inc,AVGO,25/11/2016,406,115,443,210,1739297
Broadcom Inc,AVGO,26/11/2016,371,217,61,296,1780359
Apple,AAPL,13/12/2016,109,67,496,256,2177863
Apple,AAPL,13/12/2016,80,178,135,275,3057197
Broadcom Inc,AVGO,14/12/2016,50,454,240,394,2135680
Oracle Corp,ORCL,16/12/2016,143,110,436,157,1408864
Broadcom Inc,AVGO,18/12/2016,293,448,148,264,2569519
Adobe Inc,ADBE,20/12/2016,438,179,279,240,8568139
Meta Platforms Inc,META,20/12/2016,429,292,339,52,998811
Adobe Inc,ADBE,27/12/2016,440,138,108,471,4587995
International Business Machines Corp,IBM,01/01/2017,374,267,361,334,7183446
Meta Platforms Inc,META,03/01/2017,166,232,403,426,2806950
NVIDIA Corp,NVDA,03/01/2017,60,92,187,337,6384964
Alphabet Inc,GOOG,06/01/2017,91,115,296,248,6189488
Oracle Corp,ORCL,09/01/2017,393,131,352,291,1334265
Adobe Inc,ADBE,21/01/2017,470,390,245,191,5410730
Adobe Inc,ADBE,22/01/2017,185,128,207,247,8121031
Apple,AAPL,27/01/2017,397,331,162,236,8209685
Salesforce Inc,CRM,29/01/2017,75,105,150,312,3802959
Adobe Inc,ADBE,31/01/2017,167,233,496,50,2986558
Adobe Inc,ADBE,31/01/2017,193,110,66,369,2888949
Microsoft Corporation,MSFT,03/02/2017,197,144,490,189,9761452
International Business Machines Corp,IBM,03/02/2017,254,186,134,181,1969218
Apple,AAPL,05/02/2017,103,496,404,152,573724
Broadcom Inc,AVGO,13/02/2017,109,416,220,388,2294006
Alphabet Inc,GOOG,17/02/2017,431,311,194,215,4447253
Adobe Inc,ADBE,17/02/2017,217,106,150,127,4945737
Alphabet Inc,GOOG,22/02/2017,396,439,106,489,5518627
Oracle Corp,ORCL,27/02/2017,479,340,261,85,5916076
Apple,AAPL,28/02/2017,120,340,420,58,7500751
Apple,AAPL,07/03/2017,460,88,341,441,8561563
Broadcom Inc,AVGO,15/03/2017,147,53,79,105,2658380
Apple,AAPL,17/03/2017,309,264,391,431,1563904
Alphabet Inc,GOOG,21/03/2017,377,249,494,367,5901885
International Business Machines Corp,IBM,28/03/2017,223,127,434,279,6439081
Adobe Inc,ADBE,06/04/2017,462,154,292,90,4911388
Meta Platforms Inc,META,11/04/2017,171,420,165,159,3273790
International Business Machines Corp,IBM,12/04/2017,318,364,51,361,7151002
Oracle Corp,ORCL,14/04/2017,294,399,55,338,4070649
International Business Machines Corp,IBM,19/04/2017,281,109,382,414,1878332
NVIDIA Corp,NVDA,23/04/2017,352,264,499,72,5216239
International Business Machines Corp,IBM,26/04/2017,400,433,455,475,5834680
Apple,AAPL,29/04/2017,307,473,427,436,5679105
Salesforce Inc,CRM,06/05/2017,465,413,389,168,1472214
Oracle Corp,ORCL,06/05/2017,428,154,182,50,2175452
Broadcom Inc,AVGO,06/05/2017,259,234,416,246,5493853
International Business Machines Corp,IBM,10/05/2017,449,134,409,176,9781235
Broadcom Inc,AVGO,14/05/2017,218,82,129,74,5318936
NVIDIA Corp,NVDA,15/05/2017,497,478,250,315,3512542
Meta Platforms Inc,META,16/05/2017,79,342,76,479,1322020
Salesforce Inc,CRM,18/05/2017,416,371,302,124,2378698
Meta Platforms Inc,META,21/05/2017,387,427,166,454,2680986
Microsoft Corporation,MSFT,22/05/2017,53,354,141,77,7632198
Salesforce Inc,CRM,30/05/2017,76,333,66,231,7889442
International Business Machines Corp,IBM,30/05/2017,354,438,180,271,6037170
Oracle Corp,ORCL,31/05/2017,347,277,88,79,9033604
Microsoft Corporation,MSFT,02/06/2017,402,352,261,161,1564468
Apple,AAPL,06/06/2017,363,321,452,459,7441372
Alphabet Inc,GOOG,12/06/2017,241,142,330,446,8189368
NVIDIA Corp,NVDA,14/06/2017,305,83,294,466,6277985
International Business Machines Corp,IBM,20/06/2017,350,420,426,123,3431036
Alphabet Inc,GOOG,25/06/2017,70,259,163,253,4020826
Meta Platforms Inc,META,25/06/2017,95,309,115,433,4351383
Apple,AAPL,27/06/2017,324,268,448,218,8936080
Oracle Corp,ORCL,28/06/2017,423,428,248,294,3026218
Adobe Inc,ADBE,29/06/2017,402,292,290,221,1415763
International Business Machines Corp,IBM,05/07/2017,370,326,143,278,2197654
International Business Machines Corp,IBM,12/07/2017,176,464,125,174,9184982
International Business Machines Corp,IBM,14/07/2017,429,164,216,358,3210245
Microsoft Corporation,MSFT,17/07/2017,480,288,236,455,4773103
Microsoft Corporation,MSFT,19/07/2017,79,254,381,61,1421681
Adobe Inc,ADBE,29/07/2017,233,308,172,281,1509337
Meta Platforms Inc,META,04/08/2017,353,345,137,114,8778479
Microsoft Corporation,MSFT,04/08/2017,249,264,399,324,2782090
Oracle Corp,ORCL,08/08/2017,389,246,119,322,2971293
Apple,AAPL,16/08/2017,138,63,343,238,1875342
Meta Platforms Inc,META,18/08/2017,322,430,287,249,5284876
Alphabet Inc,GOOG,19/08/2017,458,281,327,373,1912233
Broadcom Inc,AVGO,22/08/2017,403,273,204,301,4558483
Microsoft Corporation,MSFT,24/08/2017,385,171,344,451,1696710
Meta Platforms Inc,META,31/08/2017,318,399,172,485,5647027
Adobe Inc,ADBE,16/09/2017,79,203,57,485,4492886
International Business Machines Corp,IBM,18/09/2017,172,412,284,58,6051543
Oracle Corp,ORCL,20/09/2017,229,182,279,281,7061908
NVIDIA Corp,NVDA,30/09/2017,465,326,212,470,1533316
Meta Platforms Inc,META,30/09/2017,148,238,413,341,6605460
Alphabet Inc,GOOG,07/10/2017,311,243,195,366,4524639
International Business Machines Corp,IBM,08/10/2017,218,154,115,116,9764780
Broadcom Inc,AVGO,13/10/2017,426,250,373,50,5909620
Microsoft Corporation,MSFT,19/10/2017,486,278,157,350,4148533
Oracle Corp,ORCL,26/10/2017,144,152,125,289,5049643
Alphabet Inc,GOOG,01/11/2017,280,409,103,79,3507586
Alphabet Inc,GOOG,13/11/2017,57,198,300,186,724044
NVIDIA Corp,NVDA,15/11/2017,487,56,223,325,1725009
Microsoft Corporation,MSFT,15/11/2017,197,162,281,186,5001181
Broadcom Inc,AVGO,28/11/2017,235,341,449,108,7505450
International Business Machines Corp,IBM,04/12/2017,380,267,176,223,1624980
Meta Platforms Inc,META,06/12/2017,475,348,230,300,2823258
Microsoft Corporation,MSFT,06/12/2017,160,481,319,284,2825665
Alphabet Inc,GOOG,11/12/2017,317,295,366,147,5428517
International Business Machines Corp,IBM,11/12/2017,150,55,481,231,2076233
Apple,AAPL,13/12/2017,294,63,235,489,7027418
Adobe Inc,ADBE,13/12/2017,226,201,318,385,7657971
Apple,AAPL,15/12/2017,72,377,490,481,5128164
Meta Platforms Inc,META,21/12/2017,210,305,246,86,1696608
Apple,AAPL,21/12/2017,254,212,339,388,3801028
Oracle Corp,ORCL,21/12/2017,218,461,466,51,6363476
International Business Machines Corp,IBM,22/12/2017,199,104,114,408,7675930
Oracle Corp,ORCL,26/12/2017,184,130,137,209,8437923
Microsoft Corporation,MSFT,30/12/2017,285,415,134,476,7111397
Oracle Corp,ORCL,01/01/2018,336,141,374,475,9526339
Apple,AAPL,02/01/2018,158,249,236,432,6994198
Alphabet Inc,GOOG,04/01/2018,130,245,481,103,9755687
Apple,AAPL,05/01/2018,105,456,382,82,3647787
Meta Platforms Inc,META,06/01/2018,275,496,245,314,2327974
NVIDIA Corp,NVDA,09/01/2018,262,59,224,437,3381976
Apple,AAPL,11/01/2018,239,179,73,246,3913337
Alphabet Inc,GOOG,12/01/2018,374,156,360,414,4000497
Oracle Corp,ORCL,14/01/2018,471,437,181,226,4497546
International Business Machines Corp,IBM,16/01/2018,98,362,296,476,8751739
Microsoft Corporation,MSFT,20/01/2018,419,249,321,98,9569251
Oracle Corp,ORCL,26/01/2018,359,114,195,176,6022764
Broadcom Inc,AVGO,28/01/2018,73,297,479,239,5112835
International Business Machines Corp,IBM,29/01/2018,156,124,294,69,1295104
Adobe Inc,ADBE,31/01/2018,380,387,217,119,2872379
Oracle Corp,ORCL,02/02/2018,492,196,237,411,7863943
Salesforce Inc,CRM,04/02/2018,51,217,219,500,893017
Adobe Inc,ADBE,06/02/2018,156,413,368,71,4888231
Salesforce Inc,CRM,08/02/2018,479,218,404,328,2015817
Alphabet Inc,GOOG,08/02/2018,190,83,471,182,3886348
Microsoft Corporation,MSFT,15/02/2018,178,357,403,343,9155066
Adobe Inc,ADBE,18/02/2018,167,274,399,165,7299731
Adobe Inc,ADBE,21/02/2018,313,160,127,205,8016287
Adobe Inc,ADBE,23/02/2018,334,231,256,272,8391153
Salesforce Inc,CRM,26/02/2018,331,359,76,168,6677052
Adobe Inc,ADBE,12/03/2018,206,359,367,185,5910734
NVIDIA Corp,NVDA,13/03/2018,241,418,496,214,843894
Microsoft Corporation,MSFT,16/03/2018,121,366,446,444,5851376
NVIDIA Corp,NVDA,16/03/2018,165,210,172,417,2777235
NVIDIA Corp,NVDA,24/03/2018,441,105,238,297,5162165
International Business Machines Corp,IBM,25/03/2018,413,313,87,471,2781771
Adobe Inc,ADBE,30/03/2018,424,229,408,374,2805976
Microsoft Corporation,MSFT,04/04/2018,394,94,265,148,557287
Oracle Corp,ORCL,04/04/2018,491,316,471,362,9358381
Salesforce Inc,CRM,11/04/2018,310,161,440,384,4279591
Alphabet Inc,GOOG,13/04/2018,334,146,92,231,5995257
International Business Machines Corp,IBM,21/04/2018,322,302,273,431,8615119
Oracle Corp,ORCL,22/04/2018,171,98,100,148,5872974
Meta Platforms Inc,META,22/04/2018,98,164,203,203,7565897
Broadcom Inc,AVGO,25/04/2018,345,453,457,220,9140163
Apple,AAPL,28/04/2018,360,206,420,389,7717054
Adobe Inc,ADBE,02/05/2018,151,254,464,387,6841642
NVIDIA Corp,NVDA,12/05/2018,258,273,126,181,4501052
Apple,AAPL,12/05/2018,124,114,449,301,565101
NVIDIA Corp,NVDA,20/05/2018,371,248,97,355,3993206
Apple,AAPL,25/05/2018,265,98,434,177,6758043
Oracle Corp,ORCL,28/05/2018,134,384,363,167,2909774
Broadcom Inc,AVGO,05/06/2018,162,327,124,187,8626954
NVIDIA Corp,NVDA,07/06/2018,391,498,189,333,7273280
Salesforce Inc,CRM,26/06/2018,422,446,445,461,9602033
Meta Platforms Inc,META,27/06/2018,90,318,299,161,3136774
Broadcom Inc,AVGO,30/06/2018,411,226,51,415,6145826
Broadcom Inc,AVGO,01/07/2018,234,465,436,478,6615138
Salesforce Inc,CRM,02/07/2018,338,316,137,231,7192144
International Business Machines Corp,IBM,05/07/2018,339,338,379,298,7820196
Oracle Corp,ORCL,11/07/2018,375,373,299,56,9487485
International Business Machines Corp,IBM,20/07/2018,285,400,215,485,3208429
NVIDIA Corp,NVDA,23/07/2018,163,408,245,422,6657974
Apple,AAPL,30/07/2018,401,56,225,434,7871874
Salesforce Inc,CRM,15/08/2018,156,177,294,402,6324542
Salesforce Inc,CRM,16/08/2018,331,74,476,103,4875833
Alphabet Inc,GOOG,26/08/2018,97,125,274,206,8218334
Broadcom Inc,AVGO,08/09/2018,352,57,441,250,2146371
Salesforce Inc,CRM,14/09/2018,307,129,422,311,7612505
Broadcom Inc,AVGO,16/09/2018,165,67,75,437,7051755
Microsoft Corporation,MSFT,16/09/2018,482,328,346,192,8693129
Alphabet Inc,GOOG,16/09/2018,475,401,411,243,7857167
Broadcom Inc,AVGO,01/10/2018,90,358,474,266,9574086
Oracle Corp,ORCL,01/10/2018,56,392,321,65,2543132
NVIDIA Corp,NVDA,02/10/2018,205,405,107,275,3654925
Meta Platforms Inc,META,06/10/2018,115,334,261,127,2581679
Broadcom Inc,AVGO,06/10/2018,487,175,264,280,3459390
Meta Platforms Inc,META,13/10/2018,104,497,296,256,6008594
Meta Platforms Inc,META,14/10/2018,186,300,55,471,9287172
Meta Platforms Inc,META,21/10/2018,308,124,246,362,7069767
Adobe Inc,ADBE,25/10/2018,295,117,358,497,8579558
International Business Machines Corp,IBM,27/10/2018,115,167,340,353,5005085
Broadcom Inc,AVGO,02/11/2018,150,266,293,64,6458828
Broadcom Inc,AVGO,03/11/2018,462,331,419,285,1479565
Oracle Corp,ORCL,05/11/2018,441,445,471,438,7008339
Microsoft Corporation,MSFT,06/11/2018,412,131,255,212,7858007
International Business Machines Corp,IBM,07/11/2018,236,324,252,437,7976293
International Business Machines Corp,IBM,25/11/2018,484,63,417,214,6910031
NVIDIA Corp,NVDA,26/11/2018,89,171,201,238,4432442
Salesforce Inc,CRM,02/12/2018,148,492,470,107,1810253
Meta Platforms Inc,META,06/12/2018,174,119,238,346,9933426
International Business Machines Corp,IBM,08/12/2018,386,409,359,59,5675514
Microsoft Corporation,MSFT,14/12/2018,268,494,228,105,2311509
Microsoft Corporation,MSFT,19/12/2018,254,373,430,166,4599305
Salesforce Inc,CRM,20/12/2018,131,143,369,340,5653785
Alphabet Inc,GOOG,20/12/2018,446,437,226,115,3791521
Apple,AAPL,23/12/2018,460,487,68,397,4088404
Alphabet Inc,GOOG,02/01/2019,67,261,392,90,7556516
Adobe Inc,ADBE,03/01/2019,394,94,405,252,4276664
Microsoft Corporation,MSFT,07/01/2019,239,430,233,434,7641682
Broadcom Inc,AVGO,09/01/2019,74,399,405,174,8111606
Meta Platforms Inc,META,16/01/2019,444,338,461,264,9089689
Microsoft Corporation,MSFT,22/01/2019,434,50,427,290,769660
Alphabet Inc,GOOG,01/02/2019,344,138,349,215,7105642
Adobe Inc,ADBE,04/02/2019,247,248,359,440,2594449
NVIDIA Corp,NVDA,05/02/2019,237,134,137,413,5047234
Alphabet Inc,GOOG,16/02/2019,412,431,170,129,684443
International Business Machines Corp,IBM,20/02/2019,372,158,414,273,2222808
Salesforce Inc,CRM,01/03/2019,259,177,347,337,7572797
Broadcom Inc,AVGO,09/03/2019,321,429,280,347,7160209
Adobe Inc,ADBE,13/03/2019,358,328,171,365,3169750
Alphabet Inc,GOOG,20/03/2019,332,400,393,202,3899899
Apple,AAPL,21/03/2019,143,349,247,326,7519888
Adobe Inc,ADBE,23/03/2019,478,155,94,305,1987709
Apple,AAPL,31/03/2019,165,288,430,300,8605413
Alphabet Inc,GOOG,05/04/2019,151,229,396,375,7902968
Adobe Inc,ADBE,12/04/2019,424,238,420,400,4657882
Adobe Inc,ADBE,12/04/2019,256,206,114,159,3444398
International Business Machines Corp,IBM,15/04/2019,405,114,215,479,6977174
Oracle Corp,ORCL,20/04/2019,224,303,241,318,9802090
Apple,AAPL,23/04/2019,470,73,434,465,9310873
Salesforce Inc,CRM,24/04/2019,264,88,224,98,1197378
Microsoft Corporation,MSFT,08/05/2019,224,194,50,212,8064159
Broadcom Inc,AVGO,16/05/2019,396,85,65,410,2558025
Oracle Corp,ORCL,28/05/2019,341,481,170,98,2070704
Oracle Corp,ORCL,28/05/2019,366,101,114,394,4115071
Meta Platforms Inc,META,05/06/2019,175,340,428,342,6425549
Broadcom Inc,AVGO,06/06/2019,305,481,96,440,8794999
Microsoft Corporation,MSFT,07/06/2019,105,314,135,363,5289610
Apple,AAPL,08/06/2019,468,384,288,478,624356
Broadcom Inc,AVGO,11/06/2019,288,306,405,268,8561522
Oracle Corp,ORCL,11/06/2019,409,346,89,492,8897577
Adobe Inc,ADBE,13/06/2019,160,111,297,87,7926681
Alphabet Inc,GOOG,14/06/2019,194,488,202,203,5161148
