Company Name,Symbol,Date,Open Price,Close Price,High Price,Low Price,Volume
Amgen Inc,AMGN,30/06/2015,396,432,460,134,6055344
Pfizer Inc,PFE,01/07/2015,228,125,117,121,5517623
Abbott Laboratories,ABT,06/07/2015,366,125,53,302,2460904
Pfizer Inc,PFE,17/07/2015,456,481,89,256,843373
Johnson & Johnson,JNJ,28/07/2015,148,213,75,121,7245172
Bristol-Myers Squibb Company,BMY,29/07/2015,136,468,348,244,4030050
Johnson & Johnson,JNJ,30/07/2015,422,189,464,422,6947457
UnitedHealth Group Incorporated,UNH,02/08/2015,484,357,215,84,2353391
Abbott Laboratories,ABT,03/08/2015,442,78,217,246,7250569
Abbott Laboratories,ABT,03/08/2015,81,318,173,232,9434949
AbbVie Inc,ABBV,09/08/2015,101,345,353,450,4053167
Boston Scientific Corporation,BSX,13/08/2015,120,175,263,420,5566205
Abbott Laboratories,ABT,14/08/2015,455,69,409,301,6132403
Eli Lilly and Company,LLY,15/08/2015,426,431,344,361,8486624
UnitedHealth Group Incorporated,UNH,15/08/2015,208,401,101,149,4854335
AbbVie Inc,ABBV,21/08/2015,433,405,166,171,8453229
Eli Lilly and Company,LLY,29/08/2015,342,486,336,407,3411947
Boston Scientific Corporation,BSX,30/08/2015,224,61,270,454,1751142
Bristol-Myers Squibb Company,BMY,11/09/2015,134,385,371,360,9786955
Eli Lilly and Company,LLY,12/09/2015,365,127,293,115,7868066
Johnson & Johnson,JNJ,16/09/2015,158,367,143,90,3133189
Pfizer Inc,PFE,17/09/2015,284,239,220,218,9192539
Eli Lilly and Company,LLY,23/09/2015,419,131,195,194,7612408
Pfizer Inc,PFE,02/10/2015,263,454,162,464,3589127
Merck & Co,MRK,03/10/2015,179,67,64,133,7711689
Amgen Inc,AMGN,15/10/2015,426,224,362,129,7628149
Eli Lilly and Company,LLY,15/10/2015,202,162,466,314,5065909
Pfizer Inc,PFE,15/10/2015,356,215,200,103,9848338
Boston Scientific Corporation,BSX,17/10/2015,312,298,194,284,1120330
Abbott Laboratories,ABT,19/10/2015,151,67,240,296,7191039
Boston Scientific Corporation,BSX,27/10/2015,82,331,75,346,4881804
Johnson & Johnson,JNJ,30/10/2015,204,89,363,295,8524728
UnitedHealth Group Incorporated,UNH,31/10/2015,325,479,266,212,2698059
Pfizer Inc,PFE,09/11/2015,192,424,361,424,5094700
Amgen Inc,AMGN,11/11/2015,411,174,63,348,9221317
Amgen Inc,AMGN,13/11/2015,345,334,254,266,4985037
Amgen Inc,AMGN,19/11/2015,186,169,430,222,859922
Abbott Laboratories,ABT,22/11/2015,71,112,247,69,3338485
Eli Lilly and Company,LLY,24/11/2015,420,308,104,365,5137866
UnitedHealth Group Incorporated,UNH,02/12/2015,328,391,183,408,1459375
Eli Lilly and Company,LLY,04/12/2015,364,444,430,69,1581314
Johnson & Johnson,JNJ,26/12/2015,285,58,447,288,7898588
Eli Lilly and Company,LLY,28/12/2015,381,379,59,211,815041
Amgen Inc,AMGN,28/12/2015,302,76,479,138,5085618
Merck & Co,MRK,29/12/2015,336,268,130,472,1106629
Johnson & Johnson,JNJ,31/12/2015,358,287,122,197,8878566
Eli Lilly and Company,LLY,01/01/2016,446,58,117,237,8054341
Abbott Laboratories,ABT,02/01/2016,203,84,495,385,4076236
AbbVie Inc,ABBV,04/01/2016,469,470,376,286,2959180
Amgen Inc,AMGN,08/01/2016,456,407,354,286,8429340
Merck & Co,MRK,29/01/2016,444,78,185,141,9647061
Johnson & Johnson,JNJ,29/01/2016,269,90,412,137,7634236
Pfizer Inc,PFE,01/02/2016,147,383,74,437,9412896
Eli Lilly and Company,LLY,03/02/2016,281,326,156,287,3923605
Pfizer Inc,PFE,05/02/2016,408,125,275,57,4410136
Abbott Laboratories,ABT,06/02/2016,478,393,490,256,1493748
Amgen Inc,AMGN,12/02/2016,316,114,319,331,2516402
AbbVie Inc,ABBV,12/02/2016,447,417,147,418,7719883
AbbVie Inc,ABBV,19/02/2016,312,195,57,297,841761
Merck & Co,MRK,26/02/2016,330,259,60,242,923465
Merck & Co,MRK,28/02/2016,146,92,431,265,5755990
Johnson & Johnson,JNJ,03/03/2016,347,272,330,326,7748990
Johnson & Johnson,JNJ,04/03/2016,325,131,173,234,946051
Johnson & Johnson,JNJ,05/03/2016,77,169,437,305,3552836
Bristol-Myers Squibb Company,BMY,05/03/2016,341,437,161,152,2307997
Merck & Co,MRK,10/03/2016,293,493,374,132,5908123
Boston Scientific Corporation,BSX,13/03/2016,302,70,242,378,8279110
Merck & Co,MRK,14/03/2016,440,420,310,221,9242792
Boston Scientific Corporation,BSX,16/03/2016,479,102,68,230,2012909
Merck & Co,MRK,04/04/2016,173,431,73,287,5112071
Merck & Co,MRK,05/04/2016,90,302,347,93,7465515
UnitedHealth Group Incorporated,UNH,09/04/2016,173,434,320,209,5295889
Eli Lilly and Company,LLY,11/04/2016,261,254,417,316,6788621
Boston Scientific Corporation,BSX,13/04/2016,64,393,219,148,6061587
Merck & Co,MRK,15/04/2016,384,177,459,468,1260043
AbbVie Inc,ABBV,15/04/2016,110,82,220,478,3886771
Eli Lilly and Company,LLY,19/04/2016,275,434,332,454,5958095
Amgen Inc,AMGN,20/04/2016,470,474,423,347,1372936
Abbott Laboratories,ABT,22/04/2016,158,177,134,491,5667979
Johnson & Johnson,JNJ,24/04/2016,231,218,274,113,2542289
UnitedHealth Group Incorporated,UNH,27/04/2016,497,102,192,391,2919549
Merck & Co,MRK,04/05/2016,490,233,310,192,4991169
Amgen Inc,AMGN,05/05/2016,57,450,330,417,8878258
Pfizer Inc,PFE,17/05/2016,228,179,440,82,2821890
AbbVie Inc,ABBV,05/06/2016,238,91,268,296,3392227
Amgen Inc,AMGN,06/06/2016,476,396,425,445,8617177
Abbott Laboratories,ABT,08/06/2016,475,385,476,463,7976079
Amgen Inc,AMGN,16/06/2016,443,430,476,486,6626118
Pfizer Inc,PFE,21/06/2016,440,401,110,368,7937599
AbbVie Inc,ABBV,22/06/2016,398,474,412,293,4487057
Johnson & Johnson,JNJ,22/06/2016,57,141,176,200,5828090
AbbVie Inc,ABBV,25/06/2016,431,308,480,421,3756654
Eli Lilly and Company,LLY,10/07/2016,215,281,186,72,8090590
Abbott Laboratories,ABT,15/07/2016,194,349,286,460,4752163
Merck & Co,MRK,20/07/2016,120,448,318,373,9070209
UnitedHealth Group Incorporated,UNH,29/07/2016,180,166,244,167,673935
Pfizer Inc,PFE,30/07/2016,352,263,146,363,9631525
Merck & Co,MRK,31/07/2016,161,224,201,491,4913418
UnitedHealth Group Incorporated,UNH,01/08/2016,221,252,219,342,8032745
Abbott Laboratories,ABT,02/08/2016,400,414,100,235,4355192
Merck & Co,MRK,11/08/2016,115,328,297,165,2713322
Amgen Inc,AMGN,11/08/2016,445,429,373,244,5293888
Pfizer Inc,PFE,11/08/2016,297,292,461,403,4306116
Boston Scientific Corporation,BSX,12/08/2016,69,454,330,248,5959261
Johnson & Johnson,JNJ,15/08/2016,498,144,93,54,4841041
Abbott Laboratories,ABT,23/08/2016,133,203,308,492,7026549
UnitedHealth Group Incorporated,UNH,24/08/2016,96,453,254,202,898364
AbbVie Inc,ABBV,29/08/2016,301,315,100,433,2677362
Pfizer Inc,PFE,30/08/2016,132,82,424,155,7523870
Pfizer Inc,PFE,30/08/2016,328,302,227,152,769302
Merck & Co,MRK,01/09/2016,448,480,176,360,8080779
AbbVie Inc,ABBV,03/09/2016,368,94,317,435,3865176
AbbVie Inc,ABBV,07/09/2016,396,377,264,323,6274081
Boston Scientific Corporation,BSX,11/09/2016,474,321,242,85,7106909
Merck & Co,MRK,11/09/2016,107,72,482,58,1716664
Eli Lilly and Company,LLY,19/09/2016,259,269,54,101,3166977
UnitedHealth Group Incorporated,UNH,19/09/2016,481,497,354,477,3446699
Johnson & Johnson,JNJ,26/09/2016,170,62,211,406,7196651
Merck & Co,MRK,29/09/2016,70,53,274,198,5695952
Merck & Co,MRK,29/09/2016,261,437,448,271,6231873
Boston Scientific Corporation,BSX,30/09/2016,120,85,155,161,9254356
Johnson & Johnson,JNJ,30/09/2016,273,161,186,225,6829940
UnitedHealth Group Incorporated,UNH,02/10/2016,170,440,296,395,4301896
Bristol-Myers Squibb Company,BMY,04/10/2016,87,194,387,195,5343085
Johnson & Johnson,JNJ,10/10/2016,329,175,69,402,7001440
Amgen Inc,AMGN,13/10/2016,129,323,200,248,1792680
Bristol-Myers Squibb Company,BMY,16/10/2016,451,218,301,108,5776584
Boston Scientific Corporation,BSX,19/10/2016,257,66,456,289,6057678
Bristol-Myers Squibb Company,BMY,20/10/2016,395,205,296,353,637699
Eli Lilly and Company,LLY,23/10/2016,127,420,76,437,7473122
Bristol-Myers Squibb Company,BMY,25/10/2016,140,179,189,75,1299448
Boston Scientific Corporation,BSX,04/11/2016,84,190,390,471,2731131
Merck & Co,MRK,11/11/2016,436,66,219,316,8073522
AbbVie Inc,ABBV,11/11/2016,318,447,256,220,7046795
Eli Lilly and Company,LLY,15/11/2016,379,84,496,209,4617289
Eli Lilly and Company,LLY,19/11/2016,187,156,216,331,8743878
Merck & Co,MRK,30/11/2016,242,338,467,110,1133249
Merck & Co,MRK,04/12/2016,192,276,191,259,5175280
Amgen Inc,AMGN,24/12/2016,56,383,186,482,8820733
AbbVie Inc,ABBV,24/12/2016,365,427,149,183,776685
Johnson & Johnson,JNJ,09/01/2017,430,219,353,411,954703
Boston Scientific Corporation,BSX,12/01/2017,318,100,413,423,3430342
Merck & Co,MRK,17/01/2017,250,92,196,444,6333828
Johnson & Johnson,JNJ,18/01/2017,371,363,269,205,1650603
Boston Scientific Corporation,BSX,21/01/2017,419,427,306,51,8161767
Bristol-Myers Squibb Company,BMY,21/01/2017,395,367,176,330,7186689
Johnson & Johnson,JNJ,23/01/2017,83,209,105,406,4804279
Bristol-Myers Squibb Company,BMY,31/01/2017,170,412,443,117,1647189
Merck & Co,MRK,04/02/2017,399,247,450,52,1810148
Bristol-Myers Squibb Company,BMY,07/02/2017,106,96,335,491,9077225
UnitedHealth Group Incorporated,UNH,07/02/2017,162,137,390,191,6280436
Bristol-Myers Squibb Company,BMY,08/02/2017,372,50,142,116,6436712
AbbVie Inc,ABBV,10/02/2017,276,269,136,289,8210587
Pfizer Inc,PFE,12/02/2017,447,76,476,448,2174244
Abbott Laboratories,ABT,13/02/2017,365,327,332,144,5830859
AbbVie Inc,ABBV,17/02/2017,137,342,78,430,6418034
Abbott Laboratories,ABT,21/02/2017,75,481,247,305,2023792
Merck & Co,MRK,27/02/2017,366,260,168,331,6993222
UnitedHealth Group Incorporated,UNH,27/02/2017,277,410,472,59,3941231
UnitedHealth Group Incorporated,UNH,28/02/2017,147,153,264,51,9660246
AbbVie Inc,ABBV,02/03/2017,485,267,71,268,6080065
Eli Lilly and Company,LLY,12/03/2017,219,141,384,372,4527634
Johnson & Johnson,JNJ,19/03/2017,177,323,139,244,2110542
AbbVie Inc,ABBV,20/03/2017,426,171,304,60,3734595
AbbVie Inc,ABBV,01/04/2017,500,202,434,124,9084523
Amgen Inc,AMGN,06/04/2017,191,469,498,154,8470883
AbbVie Inc,ABBV,06/04/2017,103,417,201,442,5719554
Amgen Inc,AMGN,13/04/2017,237,117,280,255,8470686
Amgen Inc,AMGN,15/04/2017,403,362,238,436,8399567
Boston Scientific Corporation,BSX,16/04/2017,192,64,243,133,3325745
Johnson & Johnson,JNJ,18/04/2017,447,104,149,65,4904190
Eli Lilly and Company,LLY,20/04/2017,317,237,103,396,1912388
Amgen Inc,AMGN,27/04/2017,247,141,307,74,6513961
Johnson & Johnson,JNJ,27/04/2017,85,115,216,67,506793
Boston Scientific Corporation,BSX,03/05/2017,275,106,367,261,7479531
Bristol-Myers Squibb Company,BMY,06/05/2017,125,204,485,142,5977750
UnitedHealth Group Incorporated,UNH,09/05/2017,445,81,374,217,7064092
Johnson & Johnson,JNJ,11/05/2017,253,139,436,278,2366258
Johnson & Johnson,JNJ,14/05/2017,438,380,428,62,9911168
Boston Scientific Corporation,BSX,18/05/2017,116,73,326,430,6783343
Abbott Laboratories,ABT,20/05/2017,101,92,392,133,9967371
Pfizer Inc,PFE,21/05/2017,353,238,460,89,6791751
Eli Lilly and Company,LLY,30/05/2017,493,204,376,235,8795050
UnitedHealth Group Incorporated,UNH,30/05/2017,487,442,249,294,2678693
Pfizer Inc,PFE,03/06/2017,77,481,350,155,2679002
Eli Lilly and Company,LLY,05/06/2017,362,77,167,125,2913705
Amgen Inc,AMGN,08/06/2017,297,326,80,411,9940043
Pfizer Inc,PFE,11/06/2017,342,126,303,51,1333500
Amgen Inc,AMGN,23/06/2017,333,486,412,322,7355844
UnitedHealth Group Incorporated,UNH,24/06/2017,373,317,323,342,1475588
Johnson & Johnson,JNJ,26/06/2017,70,446,301,434,8820383
Eli Lilly and Company,LLY,07/07/2017,352,358,263,154,7929226
Johnson & Johnson,JNJ,09/07/2017,258,365,466,174,3078295
Amgen Inc,AMGN,17/07/2017,354,110,302,193,3886086
Boston Scientific Corporation,BSX,17/07/2017,325,405,137,145,8303514
AbbVie Inc,ABBV,19/07/2017,88,470,364,219,2472298
Boston Scientific Corporation,BSX,19/07/2017,410,179,259,491,9588214
AbbVie Inc,ABBV,24/07/2017,314,448,347,168,9770088
Johnson & Johnson,JNJ,30/07/2017,99,200,75,87,4356733
Amgen Inc,AMGN,10/08/2017,192,124,191,131,4917592
Abbott Laboratories,ABT,12/08/2017,474,461,193,375,9324317
Eli Lilly and Company,LLY,15/08/2017,54,224,214,382,9960517
Amgen Inc,AMGN,16/08/2017,129,241,372,195,4594331
Eli Lilly and Company,LLY,18/08/2017,52,394,429,326,8751502
Merck & Co,MRK,23/08/2017,400,197,217,107,5226682
Boston Scientific Corporation,BSX,24/08/2017,395,171,330,201,3202512
Abbott Laboratories,ABT,27/08/2017,80,284,295,294,3366946
Eli Lilly and Company,LLY,27/08/2017,433,234,415,391,7176537
Pfizer Inc,PFE,05/09/2017,63,71,169,178,9147632
Bristol-Myers Squibb Company,BMY,08/09/2017,256,168,80,84,3282891
Abbott Laboratories,ABT,10/09/2017,369,448,55,181,5323770
Pfizer Inc,PFE,14/09/2017,246,264,443,260,6576470
Boston Scientific Corporation,BSX,16/09/2017,93,271,486,285,5809867
Merck & Co,MRK,20/09/2017,353,427,488,207,5471928
Merck & Co,MRK,25/09/2017,364,321,370,337,1082416
Amgen Inc,AMGN,13/10/2017,175,312,213,77,5255784
Bristol-Myers Squibb Company,BMY,18/10/2017,121,84,314,357,1780864
Merck & Co,MRK,03/11/2017,73,175,158,481,3900944
Eli Lilly and Company,LLY,03/11/2017,162,445,431,405,693993
Bristol-Myers Squibb Company,BMY,05/11/2017,268,431,73,140,2722641
Eli Lilly and Company,LLY,06/11/2017,269,294,484,396,6707333
Amgen Inc,AMGN,11/11/2017,184,364,446,108,2584711
Amgen Inc,AMGN,11/11/2017,376,497,181,141,4862577
Bristol-Myers Squibb Company,BMY,15/11/2017,397,85,356,352,8204692
Bristol-Myers Squibb Company,BMY,18/11/2017,347,441,221,198,6401871
Eli Lilly and Company,LLY,27/11/2017,220,443,124,470,5190026
Johnson & Johnson,JNJ,12/12/2017,222,90,215,355,2062815
Abbott Laboratories,ABT,13/12/2017,66,186,213,84,3037083
Bristol-Myers Squibb Company,BMY,14/12/2017,222,417,117,98,4840557
AbbVie Inc,ABBV,15/12/2017,151,290,399,142,1161924
UnitedHealth Group Incorporated,UNH,21/12/2017,71,457,406,495,6566420
UnitedHealth Group Incorporated,UNH,25/12/2017,53,240,416,435,8278085
Bristol-Myers Squibb Company,BMY,01/01/2018,454,487,186,332,9664555
Boston Scientific Corporation,BSX,07/01/2018,352,395,215,70,827062
Amgen Inc,AMGN,08/01/2018,146,348,222,436,9444269
AbbVie Inc,ABBV,08/01/2018,396,463,202,164,9718237
Amgen Inc,AMGN,12/01/2018,450,372,350,427,2649093
Pfizer Inc,PFE,12/01/2018,328,73,371,373,4834922
Abbott Laboratories,ABT,15/01/2018,461,176,249,468,4842069
Merck & Co,MRK,28/01/2018,92,209,170,199,4488081
Pfizer Inc,PFE,29/01/2018,143,90,134,285,3403247
Johnson & Johnson,JNJ,31/01/2018,161,219,498,244,8191377
Eli Lilly and Company,LLY,01/02/2018,326,383,50,156,2364900
Bristol-Myers Squibb Company,BMY,05/02/2018,366,369,80,297,1735478
Merck & Co,MRK,12/02/2018,133,282,302,216,7567985
Merck & Co,MRK,14/02/2018,95,207,239,50,525556
AbbVie Inc,ABBV,19/02/2018,343,50,134,232,9508592
Johnson & Johnson,JNJ,21/02/2018,444,97,182,85,2226468
Pfizer Inc,PFE,25/02/2018,176,395,172,444,9016347
Pfizer Inc,PFE,26/02/2018,175,240,332,304,6809479
UnitedHealth Group Incorporated,UNH,27/02/2018,365,438,86,443,1697545
Merck & Co,MRK,02/03/2018,484,497,266,258,5150952
Eli Lilly and Company,LLY,04/03/2018,244,51,385,108,7091449
Merck & Co,MRK,09/03/2018,286,174,401,354,3157557
Amgen Inc,AMGN,10/03/2018,423,53,335,144,5230162
AbbVie Inc,ABBV,19/03/2018,179,324,450,69,2960572
Merck & Co,MRK,24/03/2018,420,287,245,297,1673194
Amgen Inc,AMGN,27/03/2018,93,491,95,134,4064243
Pfizer Inc,PFE,28/03/2018,299,425,408,137,4437410
Eli Lilly and Company,LLY,07/04/2018,181,278,121,133,880049
Amgen Inc,AMGN,08/04/2018,129,216,302,299,9115336
Boston Scientific Corporation,BSX,12/04/2018,422,66,247,210,4914729
Boston Scientific Corporation,BSX,13/04/2018,59,227,161,338,9952529
Eli Lilly and Company,LLY,19/04/2018,419,156,307,205,875406
AbbVie Inc,ABBV,19/04/2018,415,248,244,257,3435284
Johnson & Johnson,JNJ,30/04/2018,93,192,246,70,5823132
Eli Lilly and Company,LLY,11/05/2018,385,401,332,339,3073515
Merck & Co,MRK,13/05/2018,410,462,233,300,7433909
Boston Scientific Corporation,BSX,24/05/2018,405,477,326,240,1228755
Amgen Inc,AMGN,03/06/2018,311,198,377,449,1023979
UnitedHealth Group Incorporated,UNH,03/06/2018,310,136,115,391,4625476
Bristol-Myers Squibb Company,BMY,04/06/2018,419,380,88,306,3713378
Boston Scientific Corporation,BSX,05/06/2018,346,296,478,245,8866951
Bristol-Myers Squibb Company,BMY,08/06/2018,492,383,166,151,6615413
Johnson & Johnson,JNJ,19/06/2018,70,464,177,269,2158127
Johnson & Johnson,JNJ,20/06/2018,96,395,492,493,809308
Amgen Inc,AMGN,22/06/2018,113,83,167,233,4252006
Eli Lilly and Company,LLY,22/06/2018,189,250,96,89,9887669
Boston Scientific Corporation,BSX,27/06/2018,186,482,306,485,1878177
Boston Scientific Corporation,BSX,27/06/2018,215,395,53,63,503341
Eli Lilly and Company,LLY,30/06/2018,432,117,103,238,2952852
UnitedHealth Group Incorporated,UNH,30/06/2018,188,200,242,384,5652485
Amgen Inc,AMGN,03/07/2018,120,391,283,240,4261998
Abbott Laboratories,ABT,03/07/2018,436,368,478,108,4906217
Amgen Inc,AMGN,03/07/2018,311,247,265,371,8649636
Boston Scientific Corporation,BSX,06/07/2018,297,310,112,129,9345140
Abbott Laboratories,ABT,08/07/2018,257,102,350,473,6998060
Boston Scientific Corporation,BSX,15/07/2018,418,381,198,83,5771879
Pfizer Inc,PFE,16/07/2018,414,237,161,282,8065943
Boston Scientific Corporation,BSX,16/07/2018,296,287,246,284,6822800
Boston Scientific Corporation,BSX,24/07/2018,197,387,453,57,8700433
Johnson & Johnson,JNJ,25/07/2018,324,310,221,65,2822883
Pfizer Inc,PFE,25/07/2018,228,375,180,248,5980393
Pfizer Inc,PFE,27/07/2018,443,314,112,241,6135075
Boston Scientific Corporation,BSX,07/08/2018,362,487,183,464,9786434
AbbVie Inc,ABBV,10/08/2018,466,435,77,125,7330342
Pfizer Inc,PFE,11/08/2018,119,78,384,327,6487924
Eli Lilly and Company,LLY,12/08/2018,100,323,61,471,7663375
Johnson & Johnson,JNJ,19/08/2018,372,387,244,339,9015810
Bristol-Myers Squibb Company,BMY,19/08/2018,129,161,327,64,3333139
Amgen Inc,AMGN,21/08/2018,278,380,59,93,7113428
Bristol-Myers Squibb Company,BMY,21/08/2018,341,173,243,110,4938326
Bristol-Myers Squibb Company,BMY,22/08/2018,407,82,440,444,8837204
Johnson & Johnson,JNJ,24/08/2018,277,105,340,466,6982935
Pfizer Inc,PFE,25/08/2018,152,442,281,75,3470669
UnitedHealth Group Incorporated,UNH,26/08/2018,495,74,146,446,4288971
Boston Scientific Corporation,BSX,26/08/2018,431,373,282,240,3943887
UnitedHealth Group Incorporated,UNH,26/08/2018,72,437,290,462,7438989
Pfizer Inc,PFE,01/09/2018,431,80,248,483,2526656
AbbVie Inc,ABBV,02/09/2018,278,265,381,254,5340716
Pfizer Inc,PFE,02/09/2018,200,281,453,476,8381926
Boston Scientific Corporation,BSX,03/09/2018,300,207,242,314,9324518
Johnson & Johnson,JNJ,13/09/2018,156,335,484,381,1715183
Bristol-Myers Squibb Company,BMY,16/09/2018,294,91,182,414,3980961
Johnson & Johnson,JNJ,16/09/2018,487,71,151,442,2284505
Amgen Inc,AMGN,18/09/2018,335,196,68,326,7409357
UnitedHealth Group Incorporated,UNH,24/09/2018,414,55,88,50,5423267
UnitedHealth Group Incorporated,UNH,24/09/2018,477,352,198,218,6901370
Amgen Inc,AMGN,27/09/2018,251,88,335,414,2096308
UnitedHealth Group Incorporated,UNH,06/10/2018,329,415,140,109,7440840
Bristol-Myers Squibb Company,BMY,06/10/2018,86,390,298,387,5946256
UnitedHealth Group Incorporated,UNH,08/10/2018,106,395,128,152,5559941
Amgen Inc,AMGN,11/10/2018,358,97,201,141,4120245
Abbott Laboratories,ABT,14/10/2018,140,313,289,440,9541151
Bristol-Myers Squibb Company,BMY,26/10/2018,491,53,102,373,2187695
Merck & Co,MRK,29/10/2018,468,199,77,193,6580374
Johnson & Johnson,JNJ,02/11/2018,421,422,126,339,5583266
Abbott Laboratories,ABT,07/11/2018,114,184,317,142,1149774
Bristol-Myers Squibb Company,BMY,09/11/2018,340,337,490,378,4858918
Eli Lilly and Company,LLY,11/11/2018,186,453,338,469,5910281
UnitedHealth Group Incorporated,UNH,20/11/2018,114,252,194,258,7691678
Abbott Laboratories,ABT,25/11/2018,51,151,274,255,5561703
Abbott Laboratories,ABT,05/12/2018,151,88,63,282,8037352
AbbVie Inc,ABBV,21/12/2018,301,456,57,251,1167929
Amgen Inc,AMGN,24/12/2018,413,465,452,491,3106444
Merck & Co,MRK,26/12/2018,180,134,123,402,1470739
Amgen Inc,AMGN,30/12/2018,165,170,235,370,9015220
Pfizer Inc,PFE,31/12/2018,340,68,407,128,8677974
Amgen Inc,AMGN,04/01/2019,391,286,424,363,5355186
AbbVie Inc,ABBV,20/01/2019,276,434,427,474,5221441
Boston Scientific Corporation,BSX,30/01/2019,326,123,256,190,6357262
Eli Lilly and Company,LLY,01/02/2019,182,343,327,197,8143989
Johnson & Johnson,JNJ,07/02/2019,220,448,294,75,4174855
Abbott Laboratories,ABT,15/02/2019,227,94,485,211,895351
Bristol-Myers Squibb Company,BMY,19/02/2019,66,351,482,410,4833015
Abbott Laboratories,ABT,20/02/2019,484,190,417,72,2433146
Bristol-Myers Squibb Company,BMY,21/02/2019,411,72,419,414,8437462
Pfizer Inc,PFE,25/02/2019,492,398,122,173,9182406
Eli Lilly and Company,LLY,25/02/2019,240,204,350,306,6863162
Eli Lilly and Company,LLY,25/02/2019,356,212,194,375,507157
Eli Lilly and Company,LLY,27/02/2019,85,103,407,480,1327616
Abbott Laboratories,ABT,03/03/2019,67,144,177,187,1630459
Bristol-Myers Squibb Company,BMY,05/03/2019,126,465,184,253,7752715
Johnson & Johnson,JNJ,12/03/2019,475,224,67,469,1207912
Pfizer Inc,PFE,13/03/2019,342,301,93,170,8416288
Pfizer Inc,PFE,22/03/2019,68,334,214,345,6655251
Eli Lilly and Company,LLY,25/03/2019,159,261,280,388,7281440
Boston Scientific Corporation,BSX,02/04/2019,111,278,378,65,8380372
Merck & Co,MRK,03/04/2019,296,429,150,480,5583011
Merck & Co,MRK,05/04/2019,339,461,70,131,5938919
Merck & Co,MRK,06/04/2019,416,406,346,231,4274788
Johnson & Johnson,JNJ,09/04/2019,270,396,298,357,2995969
Merck & Co,MRK,14/04/2019,424,230,128,96,3542229
Bristol-Myers Squibb Company,BMY,15/04/2019,294,133,458,449,5559244
AbbVie Inc,ABBV,24/04/2019,103,252,373,376,7279309
Merck & Co,MRK,25/04/2019,457,168,111,349,3351186
Abbott Laboratories,ABT,30/04/2019,80,387,251,144,9137832
Amgen Inc,AMGN,01/05/2019,142,57,397,362,4564103
